CASE,BGT,GRASP_T_MEAN,GRASP_T_STD,GRASP_WP_MEAN,GRASP_WP_STD,GRASP_C_MEAN,GRASP_C_STD,GRASP_P_MEAN,GRASP_P_STD,RSZD_T_MEAN,RSZD_T_STD,RSZD_WP_MEAN,RSZD_WP_STD,RSZD_C_MEAN,RSZD_C_STD,RSZD_P_MEAN,RSZD_P_STD
bubbles1,314.22,0.02,0.0,64.0,64.0,308.25,0.94,357.6,4.8,0.2,0.0,30.0,0.0,295.82,0.07,348.0,0.0
bubbles2,385.45,0.36,0.16,132.0,132.0,382.57,1.51,652.0,16.0,0.75,0.26,39.0,1.0,378.64,2.91,640.2,5.29
bubbles3,476.96,2.43,0.65,200.0,200.0,475.63,1.01,879.6,28.07,4.52,1.68,66.0,3.0,471.39,2.79,879.7,8.08
bubbles4,724.91,8.57,2.79,308.0,308.0,722.86,1.13,1154.0,17.62,10.67,4.05,90.0,2.0,720.56,2.81,1157.4,8.99
bubbles5,934.34,20.95,5.29,395.0,395.0,931.82,1.29,1298.3,10.92,17.05,7.31,115.0,2.0,929.36,2.47,1305.6,5.99
bubbles6,1106.69,63.44,13.89,474.0,474.0,1104.64,0.87,1379.5,9.13,24.71,10.84,135.0,3.0,1101.94,2.14,1378.3,3.54
bubbles7,1446.58,130.52,29.68,638.0,638.0,1445.34,0.73,1589.35,16.09,50.72,26.67,182.0,3.0,1439.14,3.14,1607.55,12.36
bubbles8,1752.05,332.82,88.75,821.0,821.0,1751.33,0.46,2262.6,37.34,84.2,34.64,225.0,2.0,1745.95,3.19,2322.0,5.37
bubbles9,2033.3,790.79,180.68,950.0,950.0,2032.37,0.71,3455.5,30.35,175.82,75.68,271.0,2.0,2026.14,4.62,3463.9,10.46
bubbles1,209.48,0.01,0.01,38.0,38.0,203.84,2.49,205.8,4.28,0.14,0.0,20.0,0.0,207.89,0.05,216.0,0.0
bubbles2,256.97,0.22,0.08,76.0,76.0,254.33,2.0,372.8,23.28,0.53,0.17,25.0,1.0,251.55,2.54,380.8,3.49
bubbles3,317.98,1.01,0.45,110.0,110.0,316.73,1.18,521.2,20.27,2.11,0.7,41.0,2.0,312.65,2.73,533.4,4.78
bubbles4,483.28,5.39,1.89,203.0,203.0,481.7,1.09,886.3,24.39,7.22,3.05,53.0,2.0,478.08,3.08,825.6,4.88
bubbles5,622.9,15.14,4.6,267.0,267.0,621.18,1.12,1063.2,19.94,11.59,4.26,73.0,1.0,617.84,2.57,1027.5,11.36
bubbles6,737.8,32.75,10.18,313.0,313.0,736.21,1.15,1156.3,26.36,22.45,8.86,86.0,1.0,730.16,3.95,1161.7,7.3
bubbles7,964.39,87.1,18.98,421.0,421.0,962.98,0.89,1315.05,16.12,38.66,16.13,113.0,2.0,957.79,4.66,1319.5,7.21
bubbles8,1168.03,272.39,61.14,548.0,548.0,1167.42,0.37,1631.7,46.48,48.2,22.25,144.0,3.0,1162.4,3.31,1639.4,14.54
bubbles9,1355.53,479.8,131.5,671.0,671.0,1355.09,0.31,2576.6,99.28,62.58,24.45,181.0,2.0,1349.69,2.35,2558.35,14.6
bubbles1,104.74,0.0,0.0,13.0,13.0,98.21,2.06,51.6,9.37,0.07,0.02,8.0,0.0,103.54,3.66,59.4,2.62
bubbles2,128.48,0.01,0.01,25.0,25.0,125.66,2.12,109.2,6.08,0.18,0.01,10.0,0.0,121.08,5.66,103.4,7.07
bubbles3,158.99,0.1,0.08,40.0,40.0,156.4,2.26,181.9,7.22,0.87,0.23,14.0,0.0,156.62,0.0,176.0,0.0
bubbles4,241.64,0.66,0.36,73.0,73.0,239.62,1.72,349.6,24.06,2.24,0.62,23.0,1.0,237.91,1.7,345.0,6.56
bubbles5,311.45,2.16,0.85,106.0,106.0,309.97,1.16,499.0,21.07,3.52,0.97,31.0,1.0,306.27,1.03,484.8,2.4
bubbles6,368.9,4.91,2.2,134.0,134.0,367.81,0.73,629.5,25.4,6.4,2.02,36.0,1.0,362.0,2.35,601.0,5.2
bubbles7,482.19,18.03,7.9,198.0,198.0,481.16,0.78,869.3,27.25,14.24,5.47,52.0,1.0,475.18,2.63,821.4,7.3
bubbles8,584.02,47.15,15.25,245.0,245.0,583.32,0.63,941.65,32.93,27.59,8.82,67.0,1.0,578.38,4.19,983.3,9.21
bubbles9,677.77,89.95,29.43,310.0,310.0,677.26,0.44,1163.35,55.76,29.94,11.43,83.0,3.0,672.15,3.48,1144.55,15.04
